timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-01-01,223.69,231.19,212.74,222.61,20221.253,1514851199999,4495346.5939887,17150,9574.03964,2128648.504942,0
2018-01-02,222.62,256.49,222.62,247.33,63293.12934,1514937599999,15468084.2093889,34824,27882.52627,6801232.7613239,0
2018-01-03,247.33,253.4,233.56,238.77,71369.27484,1515023999999,17455596.1937566,37685,26294.86991,6416466.1746736,0
2018-01-04,238.89,240.0,219.38,233.0,78182.30493,1515110399999,17951834.0389651,43209,32637.42362,7494880.2035579,0
2018-01-05,233.04,250.99,230.0,240.54,65010.14465,1515196799999,15696625.2379845,30382,31773.32633,7684033.4015097,0
2018-01-06,240.95,315.0,238.73,275.28,100812.2137,1515283199999,28259590.9525604,41513,48146.90612,13540103.1040515,0
2018-01-07,276.24,287.0,262.0,269.01,43811.61108,1515369599999,12078548.8351749,23777,19199.92489,5290835.8019983,0
2018-01-08,269.01,271.82,212.74,252.65,76256.97086,1515455999999,19095109.7595696,33866,29853.94175,7463440.0338841,0
2018-01-09,252.49,257.64,228.24,244.48,53921.90417,1515542399999,13345180.4614226,25770,24047.68111,5959695.6928042,0
2018-01-10,244.56,248.99,225.05,247.63,70931.30085,1515628799999,16870783.6057008,29781,31173.20611,7410068.0089155,0
2018-01-11,247.63,252.27,195.03,223.77,83842.47294,1515715199999,19073326.491015,37597,33923.40421,7709182.7760752,0
2018-01-12,223.76,240.45,213.01,233.11,45676.80703,1515801599999,10548375.5870647,22683,19364.75803,4473975.7082269,0
2018-01-13,233.11,263.99,232.54,257.98,42811.12858,1515887999999,10476151.1928371,20564,20536.64911,5021873.2088951,0
2018-01-14,257.98,271.64,222.0,234.12,62203.40257,1515974399999,15137840.8726771,26501,25641.01885,6275629.3846946,0
2018-01-15,234.26,242.31,227.6,229.5,35755.94861,1516060799999,8398319.5240128,18021,15013.0898,3534600.8815756,0
2018-01-16,229.5,242.0,135.67,179.28,150044.07322,1516147199999,28582968.2798405,49964,64065.8837,12201667.0055484,0
2018-01-17,179.28,198.89,136.2,182.44,155640.00921,1516233599999,26395093.9553367,51587,72243.335,12288904.4776329,0
2018-01-18,183.45,202.19,170.5,186.14,98372.75595,1516319999999,18512748.8931803,37258,44029.86546,8310227.4193272,0
2018-01-19,186.21,199.0,176.04,191.42,59369.45319,1516406399999,11209086.5468799,24967,27602.06075,5216599.0337608,0
2018-01-20,191.44,215.0,190.67,210.4,59162.64755,1516492799999,12075942.5082162,24687,29006.20287,5900659.5516094,0
2018-01-21,210.05,210.69,180.0,190.16,64817.00761,1516579199999,12460823.8720531,28336,29757.15696,5734079.5774488,0
2018-01-22,190.52,195.0,163.44,178.0,60376.3605,1516665599999,10811398.7705123,26955,28293.81948,5057167.6532514,0
2018-01-23,178.0,186.42,163.02,176.98,49510.38638,1516751999999,8716023.1174421,23619,25000.16983,4402922.9867554,0
2018-01-24,176.94,186.3,171.58,180.89,43298.498,1516838399999,7744819.2302216,21988,20920.03814,3747044.8154575,0
2018-01-25,180.83,186.0,175.58,179.59,39819.99079,1516924799999,7216982.0076145,16942,16921.55596,3067094.841209,0
2018-01-26,179.0,183.06,165.0,177.09,49473.65655,1517011199999,8624749.6547423,19450,22485.58862,3916169.1920948,0
2018-01-27,175.73,184.0,173.0,182.1,31424.8731,1517097599999,5654927.1489505,14128,15983.90511,2879515.6433477,0
2018-01-28,182.11,198.0,181.7,196.74,47275.56346,1517183999999,8994922.7138862,20582,20990.86972,3994254.6559723,0
2018-01-29,196.74,197.19,180.01,181.5,36900.24385,1517270399999,6841796.6762381,18605,13892.8611,2581121.3867995,0
2018-01-30,181.51,181.96,160.59,168.21,56599.48048,1517356799999,9714236.0456283,30313,22464.14624,3860900.6048943,0
2018-01-31,168.1,169.31,157.5,165.19,37253.63137,1517443199999,6066209.6768111,22621,15671.22412,2551442.2959189,0
2018-02-01,164.83,167.2,132.0,143.69,64818.91744,1517529599999,9681259.4991677,32711,29886.71476,4465753.5599427,0
2018-02-02,144.04,147.0,108.52,131.68,124193.03592,1517615999999,15940474.8921879,55200,51812.38821,6664419.0523607,0
2018-02-03,131.99,166.99,120.06,160.3,143242.70975,1517702399999,21386022.9719593,55345,75068.15025,11218120.7145516,0
2018-02-04,160.86,174.75,138.0,147.09,300059.19271,1517788799999,46812220.1772089,101423,138377.96242,21607673.5973296,0
2018-02-05,147.29,153.96,116.6,125.17,299970.42074,1517875199999,40146290.0697709,91798,143903.02671,19215186.4072845,0
2018-02-06,125.17,147.0,106.5,141.0,393108.7479,1517961599999,49029234.277253,117861,193845.02323,24175888.6408343,0
